Steigerungsfaktor; Gegenstandswert ; Gebühr ; Summe ;
;300;26,00;;
;600;47,00;;
;900;68,00;;
;1.200;89,00;;
;1.500;110,00;;
;2.000;140,00;;
;2.500;169,00;;
;3.000;198,00;;
;3.500;228,00;;
;4.000;257,00;;
;4.500;287,00;;
;5.000;316,00;;
;6.000;355,00;;
;7.000;394,00;;
;8.000;433,00;;
;9.000;471,00;;
;10.000;510,00;;
;13.000;552,00;;
;16.000;594,00;;
;19.000;636,00;;
;22.000;678,00;;
;25.000;720,00;;
;30.000;796,00;;
;35.000;872,00;;
;40.000;947,00;;
;45.000;1023,00;;
;50.000;1098,00;;
;65.000;1179,00;;
;80.000;1260,00;;
;95.000;1341,00;;
;110.000;1422,00;;
;125.000;1503,00;;
;140.000;1583,00;;
;155.000;1664,00;;
;170.000;1745,00;;
;185.000;1826,00;;
;200.000;1907,00;;
;230.000;2031,00;;
;260.000;2155,00;;
;290.000;2279,00;;
;320.000;2408,00;;
;350.000;2464,00;;
;380.000;2519,00;;
;410.000;2573,00;;
;440.000;2624,00;;
;470.000;2674,00;;
;500.000;2724,00;;
;550.000;2796,00;;
;600.000;2867,00;;
50.000,00;5.000.000,00;126,00;13.955,00;
50.000,00;25.000.000,00;95,00;51.955,00;
50.000,00;999.999.999.999,00;74,00;;
