Steigerungsfaktor; Gegenstandswert ; Gebühr ; Summe ;
;3.000,00;41,00;;
;3.500,00;48,00;;
;4.000,00;57,00;;
;4.500,00;64,00;;
;5.000,00;72,00;;
;6.000,00;81,00;;
;7.000,00;88,00;;
;8.000,00;97,00;;
;9.000,00;102,00;;
;10.000,00;108,00;;
;12.500,00;113,00;;
;15.000,00;127,00;;
;17.500,00;140,00;;
;20.000,00;150,00;;
;22.500,00;161,00;;
;25.000,00;170,00;;
;37.500,00;181,00;;
;50.000,00;221,00;;
;62.500,00;255,00;;
;75.000,00;285,00;;
;87.500,00;297,00;;
;100.000,00;311,00;;
;125.000,00;356,00;;
;150.000,00;396,00;;
;175.000,00;431,00;;
;200.000,00;462,00;;
;225.000,00;490,00;;
;250.000,00;516,00;;
;300.000,00;540,00;;
;350.000,00;587,00;;
;400.000,00;629,00;;
;450.000,00;666,00;;
;500.000,00;701,00;;
;625.000,00;734,00;;
;750.000,00;815,00;;
;875.000,00;885,00;;
;1.000.000,00;948,00;;
;1.250.000,00;1005,00;;
;1.500.000,00;1115,00;;
;1.750.000,00;1212,00;;
;2.000.000,00;1299,00;;
;2.250.000,00;1377,00;;
;2.500.000,00;1447,00;;
;3.000.000,00;1513,00;;
;3.500.000,00;1644,00;;
;4.000.000,00;1760,00;;
;4.500.000,00;1865,00;;
;5.000.000,00;1961,00;;
;7.500.000,00;2291,00;;
;10.000.000,00;2663,00;;
;12.500.000,00;2965,00;;
;15.000.000,00;3217,00;;
;17.500.000,00;3431,00;;
;20.000.000,00;3616,00;;
;22.500.000,00;3852,00;;
;25.000.000,00;4070,00;;
;30.000.000,00;4477,00;;
;35.000.000,00;4851,00;;
;40.000.000,00;5199,00;;
;45.000.000,00;5.524,00;;
;50.000.000,00;5.832,00;;
5.000.000,00;125.000.000,00;230,00;9.282,00;
12.500.000,00;250.000.000,00;402,00;13.302,00;
25.000.000,00;999.999.999.999,00;573,00;;
