Steigerungsfaktor; Gegenstandswert ; Gebühr ; Summe ;
;15.000,00;61,00;;
;17.500,00;67,00;;
;20.000,00;74,00;;
;22.500,00;79,00;;
;25.000,00;85,00;;
;30.000,00;91,00;;
;35.000,00;98,00;;
;40.000,00;103,00;;
;45.000,00;109,00;;
;50.000,00;116,00;;
;62.500,00;122,00;;
;75.000,00;133,00;;
;87.500,00;146,00;;
;100.000,00;158,00;;
;125.000,00;176,00;;
;150.000,00;194,00;;
;200.000,00;231,00;;
;250.000,00;267,00;;
;300.000,00;303,00;;
;350.000,00;340,00;;
;400.000,00;371,00;;
;450.000,00;400,00;;
;500.000,00;431,00;;
50.000,00;999.999.999.999,00;30,00;;
