Steigerungsfaktor; Gegenstandswert ; Gebühr ; Summe ;
;40.000,00;323,00;;
;42.500,00;339,00;;
;45.000,00;355,00;;
;47.500,00;372,00;;
;50.000,00;387,00;;
;55.000,00;419,00;;
;60.000,00;449,00;;
;65.000,00;481,00;;
;70.000,00;510,00;;
;75.000,00;541,00;;
;80.000,00;571,00;;
;85.000,00;601,00;;
;90.000,00;630,00;;
;95.000,00;659,00;;
;100.000,00;688,00;;
;105.000,00;716,00;;
;110.000,00;744,00;;
;115.000,00;773,00;;
;120.000,00;801,00;;
;125.000,00;828,00;;
;130.000,00;856,00;;
;135.000,00;883,00;;
;140.000,00;911,00;;
;145.000,00;938,00;;
;150.000,00;965,00;;
;155.000,00;992,00;;
;160.000,00;1.019,00;;
;165.000,00;1.046,00;;
;170.000,00;1.072,00;;
;175.000,00;1.098,00;;
;180.000,00;1.125,00;;
;185.000,00;1.151,00;;
;190.000,00;1.177,00;;
;195.000,00;1.203,00;;
;200.000,00;1.229,00;;
;205.000,00;1.255,00;;
;210.000,00;1.280,00;;
;215.000,00;1.305,00;;
;220.000,00;1.331,00;;
;225.000,00;1.357,00;;
;230.000,00;1.381,00;;
;235.000,00;1.406,00;;
;240.000,00;1.431,00;;
;245.000,00;1.455,00;;
;250.000,00;1.479,00;;
;255.000,00;1.504,00;;
;260.000,00;1.529,00;;
;265.000,00;1.552,00;;
;270.000,00;1.576,00;;
;275.000,00;1.599,00;;
;280.000,00;1.622,00;;
;285.000,00;1.645,00;;
;290.000,00;1.668,00;;
;295.000,00;1.691,00;;
;300.000,00;1.713,00;;
;305.000,00;1.735,00;;
;310.000,00;1.757,00;;
;315.000,00;1.778,00;;
;320.000,00;1.799,00;;
;325.000,00;1.820,00;;
;330.000,00;1.841,00;;
;335.000,00;1.861,00;;
;340.000,00;1.881,00;;
;345.000,00;1.901,00;;
;350.000,00;1.919,00;;
;355.000,00;1.939,00;;
;360.000,00;1.958,00;;
;365.000,00;1.976,00;;
;370.000,00;1.995,00;;
;375.000,00;2.013,00;;
;380.000,00;2.025,00;;
;385.000,00;2.049,00;;
;390.000,00;2.065,00;;
;395.000,00;2.082,00;;
;400.000,00;2.099,00;;
;410.000,00;2.132,00;;
;420.000,00;2.164,00;;
;430.000,00;2.197,00;;
;440.000,00;2.228,00;;
;450.000,00;2.259,00;;
;460.000,00;2.289,00;;
;470.000,00;2.318,00;;
;480.000,00;2.347,00;;
;490.000,00;2.373,00;;
;500.000,00;2.399,00;;
50.000,00;999.999.999.999,00;139,00;;
