Steigerungsfaktor; Gegenstandswert ; Gebühr ; Summe ;
;40,00;311,00;;
;45,00;333,00;;
;50,00;354,00;;
;55,00;374,00;;
;60,00;394,00;;
;65,00;412,00;;
;70,00;428,00;;
;75,00;444,00;;
;80,00;459,00;;
;85,00;473,00;;
;90,00;485,00;;
;95,00;496,00;;
;100,00;506,00;;
;110,00;531,00;;
;120,00;555,00;;
;130,00;579,00;;
;140,00;602,00;;
;150,00;625,00;;
;160,00;647,00;;
;170,00;668,00;;
;180,00;689,00;;
;190,00;709,00;;
;200,00;729,00;;
;210,00;748,00;;
;220,00;767,00;;
;230,00;785,00;;
;240,00;802,00;;
;250,00;819,00;;
;260,00;836,00;;
;270,00;852,00;;
;280,00;866,00;;
;290,00;881,00;;
;300,00;895,00;;
;320,00;924,00;;
;340,00;953,00;;
;360,00;982,00;;
;380,00;1.009,00;;
;400,00;1.036,00;;
;420,00;1.063,00;;
;440,00;1.089,00;;
;460,00;1.114,00;;
;480,00;1.138,00;;
;500,00;1.162,00;;
;520,00;1.187,00;;
;540,00;1.210,00;;
;560,00;1.232,00;;
;580,00;1.254,00;;
;600,00;1.276,00;;
;620,00;1.297,00;;
;640,00;1.317,00;;
;660,00;1.337,00;;
;680,00;1.356,00;;
;700,00;1.374,00;;
;750,00;1.416,00;;
;800,00;1.454,00;;
;850,00;1.486,00;;
;900,00;1.513,00;;
;950,00;1.535,00;;
;1.000,00;1.552,00;;
1,00;2.000,00;1,42;2.972,00;
1,00;3.000,00;1,29;4.262,00;
1,00;4.000,00;1,16;5.422,00;
1,00;5.000,00;1,03;6.452,00;
1,00;6.000,00;0,90;7.352,00;
1,00;7.000,00;0,78;8.132,00;
1,00;8.000,00;0,64;8.772,00;
1,00;9.000,00;0,51;9.282,00;
1,00;10.000,00;0,38;9.662,00;
1,00;11.000,00;0,25;9.912,00;
1,00;12.000,00;0,13;10.042,00;
1,00;999.999.999.999,00;0,13;;
